==27666== Memcheck, a memory error detector
==27666== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==27666== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==27666== Command: RunCollatz
2375 44115 324
848 33369 308
701 49048 324
7196 45916 324
5912 5204 236
4038 43125 324
1896 49620 324
7458 10227 260
4619 20208 279
590 45578 324
5733 28032 308
7993 30721 308
7256 42497 324
2675 27132 308
6691 22030 279
4702 39065 324
2496 45549 324
2433 43197 324
949 9628 262
9112 46860 324
1183 29501 308
6336 9430 260
9121 43793 324
6009 91 238
352 42950 324
2020 26084 282
981 20012 279
6805 28236 308
8861 25831 282
1719 35551 311
7860 46420 324
967 46708 324
8321 13400 276
9904 35621 311
9379 45367 324
8832 36914 324
1220 21519 279
6343 20340 279
5311 32351 308
6782 45662 324
1652 48802 324
8098 12632 268
5165 11254 268
7219 30377 308
7084 28937 308
5927 1295 238
1709 6894 262
8002 29 262
6645 4257 262
2001 26023 282
9624 832 262
2936 40843 324
2350 25631 282
7534 4012 262
4333 14315 276
6025 15985 276
9468 4122 262
8616 14633 276
5375 2187 238
5009 2458 238
1123 27288 308
105 39183 324
4181 18106 279
9211 37177 324
2363 7563 262
3199 38338 324
8394 42487 324
9180 47095 324
8117 23065 279
1106 42449 324
3731 17131 276
8433 33199 308
7604 3401 262
7831 2979 262
5587 9191 262
1788 3061 217
2830 41892 324
2244 37010 324
6350 47806 324
538 48712 324
5369 3737 215
3401 30114 308
6223 48932 324
7209 30691 308
1996 28314 308
3139 25726 282
1796 47924 324
8924 49400 324
1324 23106 279
2378 23262 279
8649 40517 324
6322 1478 262
8761 18565 279
4840 25110 282
2723 45377 324
173 38091 324
5465 43573 324
8204 28039 308
2504 45412 324
8729 14499 276
78 48220 324
6576 1873 262
6143 31852 308
1272 47466 324
1309 20001 279
7079 19957 279
518 13400 276
7787 9278 260
8317 42626 324
4387 31039 308
4354 40911 324
9129 19819 279
4483 3684 238
7857 43338 324
5448 22938 279
4188 5525 215
1157 30763 308
7397 17299 276
8966 25021 282
1116 275 179
5021 18194 279
6583 5538 262
7945 24369 282
1167 46261 324
6994 31905 308
7299 37700 324
2815 12779 268
3870 23649 282
6463 21726 279
6986 31910 308
1015 7525 262
3786 32171 308
8288 27534 308
5821 33605 308
2554 13288 276
3879 13927 276
1481 20462 279
9464 29426 308
4830 16983 276
2038 28176 308
8887 19337 279
2227 21702 279
2115 6096 238
5350 14929 276
7821 28688 308
6838 5188 262
6212 16975 276
3710 40851 324
4509 19531 279
4456 13414 276
2818 8334 262
7340 30651 308
5147 13156 268
6428 6329 200
138 18465 279
4504 29024 308
4153 16730 276
7077 36268 324
2825 28779 308
1196 16997 276
7466 14386 276
8536 43677 324
7712 42246 324
880 8572 262
1776 25335 282
1986 10945 262
20 49325 324
7947 45167 324
8832 34374 311
1495 8969 262
9191 2350 262
4345 23343 279
5431 21421 279
5962 24607 282
199 43510 324
1603 24016 282
4247 46491 324
4045 21958 279
8736 34924 311
530 16863 276
6610 18867 279
7807 26629 308
4543 35754 324
8147 13375 276
6479 5993 262
8695 22021 279
4694 43039 324
5364 10124 262
812 37677 324
4730 47362 324
1186 42685 324
1378 5432 238
9175 5422 262
3742 44262 324
6697 40623 324
1124 33306 308
9489 38930 324
9934 44031 324
1035 14433 276
7405 43866 324
425 46100 324
5886 45119 324
5490 27601 308
1594 2653 209
5278 22676 279
15 12815 268
1712 37744 324
4599 37238 324
9517 28340 308
1499 32565 308
8962 42622 324
5870 44802 324
7903 42155 324
8832 5290 262
6587 46237 324
9155 43364 324
8688 31392 308
4834 30529 308
8993 42779 324
3182 40622 324
5454 49548 324
3436 47165 324
3643 4386 238
4402 29511 308
9077 15900 276
2075 34390 311
4873 27944 308
9191 22776 279
6450 18023 279
4417 9389 262
611 9923 262
2752 5650 238
1314 23937 282
6178 16658 276
6715 35711 324
7279 48521 324
1610 27067 308
5685 5252 236
1452 46439 324
4762 30529 308
8690 13188 268
4918 3563 238
1131 10461 262
2690 27581 308
8483 37106 324
3321 9093 262
3380 6072 238
1094 4693 238
6360 17271 276
1351 13074 268
9334 44981 324
1594 20943 279
8399 23631 282
2547 36203 324
69 27308 308
3083 48758 324
6848 14352 276
8672 47978 324
4812 27713 308
1910 3294 217
1170 45230 324
8738 44549 324
7653 9831 260
9242 14012 276
3454 36944 324
3438 12787 268
8276 5031 262
3729 36675 324
5013 42627 324
9229 15081 276
6287 22311 279
191 43134 324
6662 15214 276
1111 11474 268
2927 49373 324
1119 24096 282
954 9857 262
8645 44959 324
6039 34238 308
8970 45844 324
7533 18759 279
8630 2160 262
3790 8711 262
5186 35154 311
1337 44414 324
235 37623 324
6724 46777 324
756 19738 279
1990 38219 324
1211 4916 238
3943 12329 268
5364 31248 308
8537 30360 308
6206 40928 324
949 1528 182
6771 18481 279
286 11753 268
6992 10427 260
463 42178 324
5581 38151 324
6591 12167 268
2126 19667 279
8943 39233 324
9404 37284 324
7451 20614 279
8552 47745 324
9294 3915 262
8993 4183 262
4274 21550 279
1462 31574 308
3077 48232 324
6406 43363 324
6336 3397 262
141 13150 268
5574 15721 276
1301 48517 324
7887 9778 260
8183 3181 262
9010 23938 282
465 42813 324
903 49016 324
557 26548 282
9282 35901 324
730 3555 217
7451 8543 252
1480 46879 324
3127 17885 279
6593 49462 324
1281 26734 308
2612 16855 276
2454 30264 308
1723 36693 324
41 16257 276
9873 39050 324
194 46689 324
8214 1096 262
2056 5123 238
7643 31337 308
1023 24725 282
1243 14825 276
3267 2722 217
1704 6393 262
606 18296 279
5855 41887 324
5029 34818 311
5093 3835 215
5081 6815 262
6879 21473 279
3071 13103 268
522 29616 308
9792 25088 282
711 21847 279
210 24705 282
9536 37584 324
9429 20778 279
2409 32696 308
3500 30464 308
5440 10457 262
5111 27646 308
2343 10140 262
2463 43787 324
326 43895 324
6953 37204 324
5367 6375 262
6658 42241 324
5990 42801 324
7328 16700 276
1000 13889 276
7757 535 262
1472 7185 262
1312 3880 238
6232 11163 268
695 11672 268
1620 15806 276
9317 40314 324
2297 18132 279
4101 22622 279
2026 1053 182
6177 43745 324
7428 9186 252
5985 9769 262
1987 3312 217
2821 32986 308
7200 577 262
3520 35023 311
7761 21183 279
5255 13993 276
2346 5949 238
2016 20317 279
1754 47684 324
630 30402 308
2167 11082 268
9375 44193 324
2135 45551 324
7937 35914 324
1089 40273 324
5682 23075 279
9936 4854 262
6060 43487 324
5430 5931 236
8509 29543 308
7113 33763 308
9887 25810 282
9712 1902 262
6126 27817 308
5937 23108 279
8219 48104 324
4189 27593 308
2296 12675 268
9496 46584 324
4940 10584 262
3208 26974 308
3658 13143 268
1827 6069 238
6629 3609 262
1999 35137 311
3151 5463 238
5252 43037 324
1273 24963 282
4938 43750 324
9131 10874 260
3209 43701 324
8977 17398 276
7646 17624 276
6424 27141 308
559 27716 308
4076 33766 308
4689 4085 215
3260 2867 217
153 19888 279
6475 38503 324
1377 39625 324
317 6628 262
2661 41589 324
7942 27598 308
1691 17072 276
4824 34899 311
7125 30152 308
8648 14770 276
4128 15072 276
1910 11038 268
2787 12337 268
1156 13827 276
6421 24415 282
6693 42925 324
4303 23168 279
7779 15679 276
9144 8095 247
2306 11805 268
6036 36599 324
5754 17726 279
3670 26929 308
8976 30794 308
7081 37624 324
1915 37560 324
9047 3824 262
4949 28185 308
6160 26104 282
2011 48932 324
519 8703 262
1856 11173 268
8222 39634 324
3203 27366 308
4081 31860 308
9170 30116 308
8458 11275 268
4193 38479 324
8204 33168 308
5625 11636 268
791 47539 324
9195 6189 257
7715 30495 308
4373 226 238
6599 26383 282
9158 23469 279
1438 7365 262
4641 16011 276
6999 44195 324
3376 11079 268
6054 48897 324
7546 44511 324
6524 21738 279
2989 14727 276
4905 18613 279
6362 42048 324
2504 41908 324
4588 218 238
2402 48961 324
443 29000 308
1695 49600 324
8820 43132 324
3317 19812 279
9143 36667 324
4006 18870 279
4097 40059 324
4119 21642 279
921 10642 262
3379 262 217
5368 14635 276
5226 18081 279
3034 17729 279
9988 37622 324
7946 48741 324
6582 34741 311
4093 28276 308
692 12912 268
7760 24008 282
2724 13254 268
674 46729 324
2123 24770 282
3140 32593 308
6411 4060 262
3234 6141 238
673 34953 311
776 5899 238
3033 43809 324
3627 29372 308
1430 7925 262
8113 34363 311
2665 22205 279
2639 43356 324
1468 16750 276
7364 34191 308
3 28037 308
7272 12125 268
9159 16763 276
1070 15569 276
822 4303 238
1710 7847 262
5608 8837 262
3745 24992 282
8997 37371 324
4364 427 238
5295 48828 324
1141 4311 238
7384 30131 308
7667 38851 324
6880 31382 308
9394 26882 308
5770 3017 238
5359 44928 324
9779 16428 276
6849 6952 257
7082 48558 324
4798 42689 324
3746 28542 308
7681 42742 324
2265 38396 324
9520 43911 324
3575 10661 262
8222 40958 324
791 12240 268
6160 4023 236
3621 35553 311
904 35742 324
4921 36262 324
670 24699 282
2689 7518 262
1651 39771 324
2427 12800 268
2459 12524 268
1342 16491 276
5265 23606 282
4886 31137 308
3868 8460 262
1797 32089 308
5769 48939 324
680 11929 268
2961 4300 238
3833 217 238
42 35106 311
6478 37063 324
9804 5519 262
932 7806 262
5289 49710 324
606 44099 324
2233 11947 268
6942 33849 308
1904 48179 324
4985 35771 324
6639 23133 279
4212 38759 324
2072 44891 324
7039 41384 324
5543 47224 324
1600 21936 279
2329 44430 324
5350 42132 324
9948 36281 324
6290 11588 268
5990 36895 324
5686 48222 324
5193 32627 308
2070 17096 276
806 13407 276
9218 3796 262
6539 19781 279
8906 24962 282
4672 25945 282
2698 46566 324
3168 40649 324
8501 21848 279
5078 43850 324
3979 35025 311
6482 46620 324
6612 32471 308
3514 18650 279
7044 48706 324
7628 45465 324
2153 14785 276
8871 17723 279
8580 11762 268
7503 43838 324
6723 18526 279
9782 19420 279
5091 9301 262
6421 49943 324
7500 11498 268
144 27830 308
2875 6625 262
4450 9486 262
5447 7963 262
4487 2490 238
3021 12115 268
4307 5173 215
6899 39529 324
9247 11831 268
1290 26750 308
5668 4365 236
1627 41801 324
136 43070 324
7453 16556 276
3012 14952 276
8054 19508 279
2781 40928 324
6132 17230 276
6765 31579 308
1545 11252 268
420 14565 276
9718 14726 276
6089 32968 308
4255 25336 282
4798 21896 279
8437 16817 276
6260 30063 308
4969 16396 276
3132 8773 262
9303 32496 308
3724 27356 308
2003 32857 308
4635 44486 324
6438 17752 279
6064 24334 282
9003 26484 282
8898 35072 311
7561 41339 324
8039 28167 308
6674 29189 308
63 1462 182
6005 26322 282
1524 37326 324
9069 21008 279
6098 8372 262
9855 36174 324
2079 38209 324
5382 36714 324
2694 1819 209
4465 25110 282
2505 49819 324
7945 31402 308
1242 25505 282
9092 19280 279
3672 5765 238
4820 3734 215
7226 10825 260
6407 5102 262
4502 21828 279
2461 10599 262
6551 28667 308
6772 48629 324
6875 32153 308
1694 15920 276
324 22510 279
1029 42828 324
8680 8973 247
581 39921 324
4478 29673 308
5553 4501 210
1789 40372 324
4586 25367 282
7548 37344 324
468 32049 308
9171 39280 324
9000 22073 279
7946 5771 262
702 1172 182
4276 38747 324
7091 20951 279
1257 8120 262
130 16288 276
7092 37062 324
2561 17921 279
3086 48113 324
8773 34875 311
4836 13358 276
241 38736 324
702 7060 262
784 26224 282
2691 29783 308
8297 30636 308
1906 35350 311
8159 22533 279
4096 15249 276
3483 1704 217
3368 39964 324
7992 6812 257
7025 40552 324
1084 10111 262
5016 29857 308
1337 9851 262
9566 37929 324
8586 26619 282
4988 35722 324
2843 24030 282
1856 17491 276
1017 33761 308
2840 19175 279
2645 43287 324
4423 32479 308
4991 24143 282
2442 29334 308
954 15819 276
9885 38389 324
2281 24900 282
4597 3617 238
1102 10515 262
1545 16040 276
7133 2884 262
1761 6327 262
3265 49968 324
3817 14281 276
3729 43008 324
3455 22725 279
6295 17877 279
5204 47637 324
2019 27645 308
6970 39324 324
9815 13206 268
4065 2095 238
4457 28661 308
2063 5558 238
9175 29959 308
7949 42660 324
9194 6061 262
8986 42458 324
6029 39155 324
6738 6109 262
2162 40192 324
8833 34808 311
4421 34036 308
2444 16439 276
8033 9413 260
2115 4199 238
2618 16179 276
6294 43426 324
1191 44708 324
8984 16718 276
4667 3284 238
5729 23860 282
9345 24714 282
6318 15373 276
220 23055 279
1481 12382 268
3247 16665 276
3541 37667 324
701 45985 324
457 45085 324
1749 8923 262
9283 10719 255
1453 21928 279
4144 2644 238
6636 19479 279
5713 41302 324
2763 11441 268
5161 32107 308
2506 47830 324
3831 32726 308
885 1663 182
1459 483 182
8327 24999 282
4501 19027 279
7335 41309 324
463 9084 262
232 29746 308
6154 41684 324
1673 6649 262
679 18308 279
6128 46391 324
5961 15242 276
4183 7474 262
3700 26689 308
5303 27530 308
9414 26187 282
5544 20872 279
3021 13870 276
2222 13873 276
9249 49557 324
5182 29711 308
8640 21765 279
9456 11145 268
3448 27481 308
7793 40479 324
2140 10272 262
6869 38101 324
5513 27404 308
5574 5564 236
4092 17228 276
9445 29857 308
3415 44988 324
728 2787 209
8858 12949 268
6660 8106 257
8857 38193 324
4168 3848 189
9957 29976 308
4992 23404 279
7456 32785 308
234 35947 324
9408 17103 276
399 34921 311
4506 35972 324
6836 14949 276
9552 6281 260
4805 29318 308
1268 11884 268
2104 10125 262
4832 15115 276
4582 20041 279
3307 38750 324
3888 13263 276
8725 38880 324
3019 26180 282
8016 33252 308
8478 47423 324
6706 18877 279
8695 27563 308
1200 5531 238
2511 40751 324
1811 37315 324
68 29430 308
5550 2172 238
9555 6734 260
7286 40488 324
6774 36945 324
9237 661 262
207 47961 324
9540 19577 279
492 43907 324
2829 18970 279
1330 19534 279
7846 6376 257
3449 25397 282
8258 5959 262
6148 40068 324
9626 36215 324
5850 25175 282
4738 41756 324
1908 22024 279
2243 8681 262
8968 11480 268
5694 25526 282
5792 15233 276
5103 16284 276
9140 14283 276
1605 16821 276
3816 5802 236
3196 13616 276
1198 1454 177
9575 47345 324
7873 45552 324
9912 43722 324
7078 4649 262
5477 35338 311
3024 17720 279
4018 18343 279
5551 36063 324
3869 21342 279
